Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow on Grnd (cm),Snowday?
20.8,16,18.4,0,0.4,0.5,0,0.5,0,0
23,15.2,19.1,0,1.1,0,0,0,0,0
24.9,17.7,21.3,0,3.3,0,0,0,0,0
28.1,15.5,21.8,0,3.8,31,0,31,0,0
22,16.2,19.1,0,1.1,0,0,0,0,0
22.4,12.2,17.3,0.7,0,0,0,0,0,0
25.6,10.2,17.9,0.1,0,0,0,0,0,0
23.4,14.4,18.9,0,0.9,0.2,0,0.2,0,0
23,13.7,18.4,0,0.4,4.6,0,4.6,0,0
23.1,13.7,18.4,0,0.4,0,0,0,0,0
22.6,11.4,17,1,0,0,0,0,0,0
26.3,12.3,19.3,0,1.3,0,0,0,0,0
28.3,16.9,22.6,0,4.6,0,0,0,0,0
29.9,17.6,23.8,0,5.8,0,0,0,0,0
25.5,19.8,22.7,0,4.7,0,0,0,0,0
23.2,11.9,17.6,0.4,0,0,0,0,0,0
26,13.6,19.8,0,1.8,0,0,0,0,0
19.4,16.3,17.9,0.1,0,1,0,1,0,0
22.1,10.9,16.5,1.5,0,1.6,0,1.6,0,0
20.7,12.7,16.7,1.3,0,9.2,0,9.2,0,0
22.7,11.8,17.3,0.7,0,3.7,0,3.7,0,0
26.4,14.2,20.3,0,2.3,0,0,0,0,0
27.5,14.5,21,0,3,2.8,0,2.8,0,0
23.8,14.8,19.3,0,1.3,0,0,0,0,0
25.3,10.3,17.8,0.2,0,1,0,1,0,0
24,13.5,18.8,0,0.8,0,0,0,0,0
26.3,13.5,19.9,0,1.9,0,0,0,0,0
29.5,13.5,21.5,0,3.5,0,0,0,0,0
22.2,16.9,19.6,0,1.6,49.8,0,49.8,0,0
23.6,17.8,20.7,0,2.7,1.2,0,1.2,0,0
15.7,11,13.4,4.6,0,2.4,0,2.4,0,0
16.5,11.4,14,4,0,1.2,0,1.2,0,0
21,9.9,15.5,2.5,0,0,0,0,0,0
22.9,8.1,15.5,2.5,0,0,0,0,0,0
25.2,13.4,19.3,0,1.3,15.8,0,15.8,0,0
24,18,21,0,3,15,0,15,0,0
22.3,16.7,19.5,0,1.5,0,0,0,0,0
27.8,13.5,20.7,0,2.7,0,0,0,0,0
28,14.6,21.3,0,3.3,0,0,0,0,0
23.4,18,20.7,0,2.7,0,0,0,0,0
19.5,15,17.3,0.7,0,0,0,0,0,0
23,9.2,16.1,1.9,0,0,0,0,0,0
27.5,17.5,22.5,0,4.5,0,0,0,0,0
27.7,21.7,24.7,0,6.7,6.3,0,6.3,0,0
25.2,15.8,20.5,0,2.5,0,0,0,0,0
27.5,13.6,20.6,0,2.6,1.2,0,1.2,0,0
29,19.2,24.1,0,6.1,34.2,0,34.2,0,0
24.6,9.3,17,1,0,0,0,0,0,0
23,14.1,18.6,0,0.6,0,0,0,0,0
23.6,12.7,18.2,0,0.2,5.2,0,5.2,0,0
23,15,19,0,1,0.2,0,0.2,0,0
14,6.8,10.4,7.6,0,0,0,0,0,0
18.9,5.8,12.4,5.6,0,2.4,0,2.4,0,0
17.9,9.3,13.6,4.4,0,0,0,0,0,0
18.6,5.7,12.2,5.8,0,8,0,8,0,0
11.5,4.9,8.2,9.8,0,0,0,0,0,0
15.5,-0.7,7.4,10.6,0,0,0,0,0,0
11.9,6.9,9.4,8.6,0,0,0,0,0,0
17.2,6.2,11.7,6.3,0,0,0,0,0,0
22,6.5,14.3,3.7,0,0,0,0,0,0
24,7.2,15.6,2.4,0,0,0,0,0,0
24.3,9.8,17.1,0.9,0,0,0,0,0,0
22.5,14.5,18.5,0,0.5,0,0,0,0,0
16.8,8.5,12.7,5.3,0,0,0,0,0,0
19.2,11,15.1,2.9,0,0,0,0,0,0
20.7,9.8,15.3,2.7,0,0,0,0,0,0
23.7,9.2,16.5,1.5,0,3.8,0,3.8,0,0
15,5.9,10.5,7.5,0,8.8,0,8.8,0,0
17.5,10.6,14.1,3.9,0,11.8,0,11.8,0,0
17.2,11.1,14.2,3.8,0,0.8,0,0.8,0,0
10.9,3,7,11,0,0.8,0,0.8,0,0
10.4,1.9,6.2,11.8,0,0,0,0,0,0
17,1,9,9,0,0,0,0,0,0
25.9,12.3,19.1,0,1.1,2,0,2,0,0
21.8,16.8,19.3,0,1.3,2.2,0,2.2,0,0
19.8,16.5,18.2,0,0.2,10,0,10,0,0
17.5,13,15.3,2.7,0,1.8,0,1.8,0,0
6.9,-1.6,2.7,15.3,0,6.3,0,6.3,0,0
7.8,4,5.9,12.1,0,1.6,0,1.6,0,0
13,4.1,8.6,9.4,0,0,0,0,0,0
13.9,4.7,9.3,8.7,0,0,0,0,0,0
16.4,6.2,11.3,6.7,0,0,0,0,0,0
10,4,7,11,0,4.2,0,4.2,0,0
11.5,6.4,9,9,0,1.2,0,1.2,0,0
13.5,4.9,9.2,8.8,0,0.3,0,0.3,0,0
7.3,1.5,4.4,13.6,0,0,0,0,0,0
6.6,-1,2.8,15.2,0,0,0,0,0,0
8.7,-1.8,3.5,14.5,0,0,0,0,0,0
14.4,0.9,7.7,10.3,0,6.2,0,6.2,0,0
11.2,6.7,9,9,0,0,0,0,0,0
7.3,3.6,5.5,12.5,0,1.8,0,1.8,0,0
3.5,1,2.3,15.7,0,0,0,0,0,0
5.8,1.1,3.5,14.5,0,0,0,0,0,0
14.8,-0.3,7.3,10.7,0,2.2,0,2.2,0,0
9.6,4,6.8,11.2,0,0,0,0,0,0
3.3,-1.4,1,17,0,0,0,0,0,0
1.9,-5,-1.6,19.6,0,0,0,0,0,0
0.5,-2,-0.8,18.8,0,0,8.4,7.4,1,0
-3.2,-7,-5.1,23.1,0,0,0.5,0.2,4,0
-1.9,-9.7,-5.8,23.8,0,0,0.2,0.2,2,0
-0.4,-6,-3.2,21.2,0,0,0,0,2,0
-2,-9.6,-5.8,23.8,0,0,0,0,2,0
18.9,3.9,11.4,6.6,0,1,0,1,0,0
5.6,4,4.8,13.2,0,0,0,0,0,0
-0.7,-3.2,-2,20,0,0,0,0,0,0
-2.2,-5,-3.6,21.6,0,0,0,0,0,0
-3.7,-7.3,-5.5,23.5,0,0,0,0,0,0
-0.2,-1.9,-1.1,19.1,0,0,0,0,0,0
-3.2,-14.8,-9,27,0,0.5,2.5,3,0,0
1.8,-10.1,-4.2,22.2,0,1.4,1.2,2.6,2,0
-6.9,-8.2,-7.6,25.6,0,0,0,0,1,0
-3,-14.8,-8.9,26.9,0,0,0,0,1,0
-4.4,-13.1,-8.8,26.8,0,0,0,0,1,0
0.8,-9.6,-4.4,22.4,0,0,0.2,0.2,1,0
-1.5,-2.8,-2.2,20.2,0,0,12,11.1,0,0
-1.5,-3,-2.3,20.3,0,0,1,0.8,9,0
-2,-6.1,-4.1,22.1,0,0,1,0.4,10,0
0.6,-0.7,-0.1,18.1,0,0,0,0,9,0
0.4,-1.1,-0.4,18.4,0,6,0,6,7,0
0.9,-0.9,0,18,0,6,2.5,8.5,7,1
-0.6,-2.2,-1.4,19.4,0,0,0,0,7,0
-16,-18,-17,35,0,0,0,0,8,0
-9.5,-21.4,-15.5,33.5,0,0,3,2.7,7,0
-17.7,-22,-19.9,37.9,0,0,0.3,0.2,6,0
-8.5,-28,-18.3,36.3,0,0,5,3.2,6,0
-6.1,-18.2,-12.2,30.2,0,0,0.6,0.2,8,0
-2,-6,-4,22,0,0,0.5,0.5,8,0
-16.4,-24,-20.2,38.2,0,0,0,0,7,0
-11.8,-26.2,-19,37,0,0,0,0,7,0
-2.5,-22.9,-12.7,30.7,0,0,1.6,1.3,7,0
-12,-13.8,-12.9,30.9,0,0,0,0,10,0
-4.2,-8.6,-6.4,24.4,0,0,0,0,10,0
-14.5,-20.8,-17.7,35.7,0,0,0,0,10,0
-8.9,-22.5,-15.7,33.7,0,0,0,0,10,0
-7.4,-20.8,-14.1,32.1,0,0,0,0,10,0
0,-15.5,-7.8,25.8,0,0,0.5,0.2,9,0
-12.9,-23.9,-18.4,36.4,0,0,0,0,10,0
-9,-18.6,-13.8,31.8,0,0,0,0,10,0
-7.6,-17.8,-12.7,30.7,0,0,0,0,10,0
-5,-20,-12.5,30.5,0,0,13,11.5,10,0
-10,-12.9,-11.5,29.5,0,0,0,0,20,0
-14.3,-20.4,-17.4,35.4,0,0,3,1.5,14,0
-7.8,-26.1,-17,35,0,0,1.5,0.6,16,0
-4.5,-11.7,-8.1,26.1,0,0,12,4,15,0
-14.4,-19.7,-17.1,35.1,0,0,1.3,0.5,28,0
-7.8,-25.4,-16.6,34.6,0,0,0.9,0.4,26,0
-10.3,-14.9,-12.6,30.6,0,0,0,0,25,0
-4.5,-12.3,-8.4,26.4,0,0,0,0,25,0
-10.4,-16,-13.2,31.2,0,0,10,4.6,24,0
-9,-13.5,-11.3,29.3,0,0,0,0,34,0
-18.7,-26.6,-22.7,40.7,0,0,3.2,2.8,30,0
-16.4,-26.5,-21.5,39.5,0,0,0,0,28,0
-12,-26.7,-19.4,37.4,0,0,0,0,29,0
-7.6,-22,-14.8,32.8,0,0,1,0.8,29,0
-16.9,-19,-18,36,0,0,0,0,30,0
-14,-22.3,-18.2,36.2,0,0,0.3,0.3,27,0
-18.2,-23.4,-20.8,38.8,0,0,0,0,39,0
-8.3,-27.7,-18,36,0,0,1,0.6,36,0
-8,-13.6,-10.8,28.8,0,0,0,0,36,0
-10.8,-25.7,-18.3,36.3,0,0,0,0,34,0
-7,-24.3,-15.7,33.7,0,0,0,0,32,0
-2.8,-9,-5.9,23.9,0,0,0,0,33,0
-1.7,-20.6,-11.2,29.2,0,0,5.1,5.1,31,0
2.3,-8.4,-3.1,21.1,0,0,0,0,34,0
-10.5,-15.4,-13,31,0,0,0,0,32,0
-7,-23.1,-15.1,33.1,0,0,0,0,33,0
5,-6.1,-0.6,18.6,0,0,0,0,36,0
7.6,-3.9,1.9,16.1,0,0,0,0,35,0
8,2.5,5.3,12.7,0,0,0,0,30,0
-2.6,-7.4,-5,23,0,0,0,0,26,0
-8.8,-17.3,-13.1,31.1,0,0,0,0,25,0
1.3,-15,-6.9,24.9,0,0,0,0,25,0
4.3,-11,-3.4,21.4,0,0.2,0,0.2,24,0
4.3,1.4,2.9,15.1,0,0,1,0.8,21,0
-4,-5.5,-4.8,22.8,0,0,0,0,20,0
4.8,-0.6,2.1,15.9,0,0.7,0,0.7,19,0
2.5,-5.7,-1.6,19.6,0,0,0,0,14,0
2.8,-7.3,-2.3,20.3,0,0,1,0.8,14,0
12.3,-3.6,4.4,13.6,0,2.6,0,2.6,14,0
14.5,3,8.8,9.2,0,0,2.5,2.5,2,0
2.5,-5,-1.3,19.3,0,0,0,0,0,0
7.3,-1.7,2.8,15.2,0,0,0,0,0,0
3.7,-2.6,0.6,17.4,0,0,0.5,0.3,0,0
5.8,-0.7,2.6,15.4,0,18.4,0,18.4,0,0
12.9,2.3,7.6,10.4,0,4.3,0,4.3,0,0
22.3,0.2,11.3,6.7,0,4.4,0,4.4,0,0
16.8,4.8,10.8,7.2,0,0,0,0,0,0
13.2,3.4,8.3,9.7,0,0,0,0,0,0
18.8,-1.7,8.6,9.4,0,0,0,0,0,0
20.6,9.8,15.2,2.8,0,0,0,0,0,0
9.6,4.3,7,11,0,21,0,21,0,0
12,6.5,9.3,8.7,0,2.6,0,2.6,0,0
9.8,2.5,6.2,11.8,0,0.6,0,0.6,0,0
7.2,0.4,3.8,14.2,0,0,0,0,0,0
4.4,0.1,2.3,15.7,0,0,0,0,0,0
15.2,3.5,9.4,8.6,0,0,0,0,0,0
20.8,4.9,12.9,5.1,0,0,0,0,0,0
21.6,5.9,13.8,4.2,0,0,0,0,0,0
18.2,6.2,12.2,5.8,0,0,0,0,0,0
20.7,7.6,14.2,3.8,0,0,0,0,0,0
27.9,10.6,19.3,0,1.3,2.8,0,2.8,0,0
20,8.9,14.5,3.5,0,0,0,0,0,0
24,4.4,14.2,3.8,0,0,0,0,0,0
27.1,8.3,17.7,0.3,0,0,0,0,0,0
29.9,11.7,20.8,0,2.8,0,0,0,0,0
14.2,8.9,11.6,6.4,0,3.9,0,3.9,0,0
22,7.5,14.8,3.2,0,1.9,0,1.9,0,0
16.5,6.3,11.4,6.6,0,0,0,0,0,0
19,3.5,11.3,6.7,0,0,0,0,0,0
20.7,4.2,12.5,5.5,0,0,0,0,0,0
29.6,10.5,20.1,0,2.1,1.6,0,1.6,0,0
25.8,17.9,21.9,0,3.9,0,0,0,0,0
15.3,3.7,9.5,8.5,0,0,0,0,0,0
20.5,7.4,14,4,0,0,0,0,0,0
11.3,5.7,8.5,9.5,0,0,0,0,0,0
23.4,14.3,18.9,0,0.9,30.3,0,30.3,0,0
29.3,15.5,22.4,0,4.4,0,0,0,0,0
27.9,19.5,23.7,0,5.7,0.2,0,0.2,0,0
23,16.4,19.7,0,1.7,1.4,0,1.4,0,0
26.2,8.9,17.6,0.4,0,0,0,0,0,0
18,9,13.5,4.5,0,0.4,0,0.4,0,0
16.7,8.9,12.8,5.2,0,0,0,0,0,0
20.9,5.5,13.2,4.8,0,0,0,0,0,0
25.6,8.4,17,1,0,0,0,0,0,0
22.6,17.4,20,0,2,0.8,0,0.8,0,0
22.4,16,19.2,0,1.2,8,0,8,0,0
20,15.3,17.7,0.3,0,3.6,0,3.6,0,0
23.3,12,17.7,0.3,0,9.8,0,9.8,0,0
24.1,14,19.1,0,1.1,0.4,0,0.4,0,0
19.1,16.5,17.8,0.2,0,15.9,0,15.9,0,0
26.8,15.4,21.1,0,3.1,18.2,0,18.2,0,0
25.6,18.8,22.2,0,4.2,0.9,0,0.9,0,0
22.3,8.6,15.5,2.5,0,0,0,0,0,0
27.2,13.1,20.2,0,2.2,10.8,0,10.8,0,0
20.1,9.9,15,3,0,0,0,0,0,0
26.9,16.1,21.5,0,3.5,1.2,0,1.2,0,0
27.8,17.8,22.8,0,4.8,0,0,0,0,0
24.8,12.5,18.7,0,0.7,0,0,0,0,0
22.3,12,17.2,0.8,0,0,0,0,0,0
25.4,10,17.7,0.3,0,0,0,0,0,0
22.8,12.5,17.7,0.3,0,3.1,0,3.1,0,0
24.2,12.9,18.6,0,0.6,3,0,3,0,0
22.7,16.7,19.7,0,1.7,16.6,0,16.6,0,0
21.8,11.5,16.7,1.3,0,0,0,0,0,0
24.7,11,17.9,0.1,0,0,0,0,0,0
28.3,15.1,21.7,0,3.7,0,0,0,0,0
29.6,20,24.8,0,6.8,8.3,0,8.3,0,0
24.5,12.9,18.7,0,0.7,0,0,0,0,0
22.7,13.7,18.2,0,0.2,0,0,0,0,0
27.4,14.7,21.1,0,3.1,0,0,0,0,0
29.9,17.4,23.7,0,5.7,0,0,0,0,0
26.2,19.6,22.9,0,4.9,5.3,0,5.3,0,0
20.7,11,15.9,2.1,0,0,0,0,0,0
23.8,9.4,16.6,1.4,0,0,0,0,0,0
22.6,10.1,16.4,1.6,0,13.5,0,13.5,0,0
28.8,18.7,23.8,0,5.8,1.2,0,1.2,0,0
26.3,19.2,22.8,0,4.8,0.5,0,0.5,0,0
23.1,15,19.1,0,1.1,0,0,0,0,0
25.4,16.9,21.2,0,3.2,0,0,0,0,0
26.2,14.2,20.2,0,2.2,0,0,0,0,0
31.7,18.1,24.9,0,6.9,1.3,0,1.3,0,0
32.8,17.2,25,0,7,0,0,0,0,0
33.9,19.8,26.9,0,8.9,8.2,0,8.2,0,0
30.3,21.1,25.7,0,7.7,0,0,0,0,0
27.7,19.1,23.4,0,5.4,1.2,0,1.2,0,0
24.6,17.6,21.1,0,3.1,0.4,0,0.4,0,0
24.8,14.8,19.8,0,1.8,1.2,0,1.2,0,0
23.5,13.6,18.6,0,0.6,0,0,0,0,0
23.5,14,18.8,0,0.8,0,0,0,0,0
23.4,12,17.7,0.3,0,0,0,0,0,0
28.3,10.8,19.6,0,1.6,37.3,0,37.3,0,0
24.6,18.3,21.5,0,3.5,3.6,0,3.6,0,0
21.3,17,19.2,0,1.2,0,0,0,0,0
25.9,13.2,19.6,0,1.6,1.3,0,1.3,0,0
26.4,16.7,21.6,0,3.6,0.6,0,0.6,0,0
31.8,18.7,25.3,0,7.3,0,0,0,0,0
31.5,19.5,25.5,0,7.5,0.3,0,0.3,0,0
29.5,19,24.3,0,6.3,0,0,0,0,0
28.3,22.5,25.4,0,7.4,21,0,21,0,0
24.8,16.2,20.5,0,2.5,0,0,0,0,0
24.7,15.5,20.1,0,2.1,2,0,2,0,0
21.7,13.1,17.4,0.6,0,0,0,0,0,0
22.3,12.9,17.6,0.4,0,1.1,0,1.1,0,0
22.3,13.7,18,0,0,0,0,0,0,0
22,8.1,15.1,2.9,0,0,0,0,0,0
25.3,16.9,21.1,0,3.1,0,0,0,0,0
28.7,12.8,20.8,0,2.8,0,0,0,0,0
27.9,16.4,22.2,0,4.2,6,0,6,0,0
28.8,17.8,23.3,0,5.3,0.2,0,0.2,0,0
26,13.4,19.7,0,1.7,0,0,0,0,0
33,19,26,0,8,10.4,0,10.4,0,0
27.5,19.4,23.5,0,5.5,0,0,0,0,0
24.6,21.5,23.1,0,5.1,0.4,0,0.4,0,0
24,11.8,17.9,0.1,0,0,0,0,0,0
25.3,11.2,18.3,0,0.3,3.7,0,3.7,0,0
23.2,13.4,18.3,0,0.3,0,0,0,0,0
27.4,11.7,19.6,0,1.6,0,0,0,0,0
29.6,13.2,21.4,0,3.4,0,0,0,0,0
28.2,14.8,21.5,0,3.5,0,0,0,0,0
28.7,15.3,22,0,4,0,0,0,0,0
20.4,5.2,12.8,5.2,0,0,0,0,0,0
22.4,7.5,15,3,0,0,0,0,0,0
23.4,8.8,16.1,1.9,0,0,0,0,0,0
20.8,12.5,16.7,1.3,0,0,0,0,0,0
16.6,10.6,13.6,4.4,0,0,0,0,0,0
21.1,12.2,16.7,1.3,0,5.1,0,5.1,0,0
22.1,17.5,19.8,0,1.8,11.8,0,11.8,0,0
15,10.4,12.7,5.3,0,0,0,0,0,0
14.6,3.7,9.2,8.8,0,0,0,0,0,0
12.5,3.7,8.1,9.9,0,0,0,0,0,0
15.8,8.8,12.3,5.7,0,0,0,0,0,0
15.2,11,13.1,4.9,0,0,0,0,0,0
18.4,9,13.7,4.3,0,0,0,0,0,0
13.1,1.5,7.3,10.7,0,10.2,0,10.2,0,0
9.4,4.9,7.2,10.8,0,2.5,0,2.5,0,0
23.6,8,15.8,2.2,0,2.7,0,2.7,0,0
17.8,11.3,14.6,3.4,0,0.4,0,0.4,0,0
9.8,6.4,8.1,9.9,0,0,0,0,0,0
15.4,0.5,8,10,0,7.2,0,7.2,0,0
10.6,6.3,8.5,9.5,0,6,0,6,0,0
12.2,-6.8,2.7,15.3,0,0.8,0,0.8,0,0
17,3.8,10.4,7.6,0,0,0,0,0,0
11.2,2.7,7,11,0,4.2,0,4.2,0,0
16.1,4,10.1,7.9,0,0,0,0,0,0
8.4,1,4.7,13.3,0,0,0,0,0,0
7.8,-2,2.9,15.1,0,0,0,0,0,0
12.2,-3.6,4.3,13.7,0,0,0,0,0,0
13.4,0.5,7,11,0,32.4,0,32.4,0,0
13.3,5.4,9.4,8.6,0,1.6,0,1.6,0,0
7.9,2.4,5.2,12.8,0,0,0,0,0,0
12.1,7.8,10,8,0,0.3,0,0.3,0,0
14.9,3.5,9.2,8.8,0,0,0,0,0,0
16.2,0.5,8.4,9.6,0,0,0,0,0,0
21.4,4.2,12.8,5.2,0,0,0,0,0,0
19.6,12.9,16.3,1.7,0,0.5,0,0.5,0,0
12.5,-0.2,6.2,11.8,0,0,0,0,0,0
10.8,-3.7,3.6,14.4,0,0,0,0,0,0
10.8,7.8,9.3,8.7,0,2,0,2,0,0
11.3,7.2,9.3,8.7,0,12.5,0,12.5,0,0
8.8,6,7.4,10.6,0,5.1,0,5.1,0,0
7.4,3,5.2,12.8,0,0,0,0,0,0
5.3,-4,0.7,17.3,0,0,0,0,0,0
14.5,-2.2,6.2,11.8,0,0,0,0,0,0
16.4,6,11.2,6.8,0,6.2,0,6.2,0,0
8,2,5,13,0,0,0,0,0,0
0.6,-8,-3.7,21.7,0,0,1,0.6,0,0
-1.9,-4.8,-3.4,21.4,0,0,0,0,1,0
4.5,-8,-1.8,19.8,0,0,0,0,0,0
13.7,-1.2,6.3,11.7,0,0,0,0,0,0
13,8.1,10.6,7.4,0,5.8,0,5.8,0,0
-1.2,-6.2,-3.7,21.7,0,0,0,0,0,0
1.5,-7,-2.8,20.8,0,8,0,8,0,0
3.3,-1,1.2,16.8,0,0,0,0,0,0
4.6,0,2.3,15.7,0,0,0,0,0,0
6.5,0.3,3.4,14.6,0,0,0,0,0,0
6.2,-1.4,2.4,15.6,0,0,0,0,0,0
3.8,-1,1.4,16.6,0,0,0,0,0,0
9.4,0.9,5.2,12.8,0,0.2,0,0.2,0,0
11,1.8,6.4,11.6,0,0,0,0,0,0
13.7,5.1,9.4,8.6,0,3,0,3,0,0
8.7,0.2,4.5,13.5,0,10.8,0,10.8,0,0
9.5,2.5,6,12,0,0,0,0,0,0
2.1,-0.8,0.7,17.3,0,3.2,0,3.2,0,0
6.3,-0.5,2.9,15.1,0,0,0,0,0,0
3.6,1.5,2.6,15.4,0,0,0.6,0.6,0,0
-14.7,-20.4,-17.6,35.6,0,0,0,0,17,0
-7.4,-22.9,-15.2,33.2,0,0,0,0,17,0
1.3,-17.7,-8.2,26.2,0,0,0,0,17,0
-0.1,-9.9,-5,23,0,0,0,0,16,0
0.4,-10.2,-4.9,22.9,0,0,2.5,3.1,16,0
-9,-12.2,-10.6,28.6,0,0,0,0,7,0
-3,-16.1,-9.6,27.6,0,0,6.5,5.1,7,0
-11.1,-14.6,-12.9,30.9,0,0,2,1,9,0
-4.8,-19,-11.9,29.9,0,0,0,0,10,0
-6.3,-13.2,-9.8,27.8,0,0,0.4,0.4,11,0
-11.8,-14.3,-13.1,31.1,0,0,0,0,18,0
-9.9,-18.2,-14.1,32.1,0,0,0,0,14,0
-5.1,-12.2,-8.7,26.7,0,0,0,0,10,0
-7.3,-14,-10.7,28.7,0,0,0,0,10,0
-4.7,-12.1,-8.4,26.4,0,0,0,0,10,0
1.3,-10.6,-4.7,22.7,0,0.4,0,0.4,11,0
5.5,-5.6,-0.1,18.1,0,1.1,0.4,1.5,11,0
-2.2,-7.8,-5,23,0,0,0,0,8,0
0.7,-10.8,-5.1,23.1,0,0,4,2.5,7,0
-1,-6.2,-3.6,21.6,0,0,1,1,11,0
4,1.1,2.6,15.4,0,0,0,0,0,0
0.3,-9,-4.4,22.4,0,4,2,6,5,0
7.1,-5.6,0.8,17.2,0,2.1,0,2.1,6,0
3.3,0.5,1.9,16.1,0,0,0,0,6,0
-2.7,-9,-5.9,23.9,0,0,0,0,6,0
-5.8,-9.2,-7.5,25.5,0,0,1,0.9,5,0
-5.8,-9,-7.4,25.4,0,0,2.5,1.1,8,0
-3.4,-7.9,-5.7,23.7,0,0,1.2,1.2,9,0
-16.5,-18.3,-17.4,35.4,0,0,0,0,10,0
-4.3,-21.4,-12.9,30.9,0,0,1,0.8,10,0
-6.5,-24.3,-15.4,33.4,0,0,3.9,3.9,10,0
-3.8,-11.8,-7.8,25.8,0,0,37,35.3,14,0
0.1,-11.2,-5.6,23.6,0,0,0.4,0.4,40,0
-7.2,-22,-14.6,32.6,0,0,0,0,38,0
3.2,-23.1,-10,28,0,2.8,3,5.8,37,0
-7.4,-18.3,-12.9,30.9,0,0,0,0,24,0
-4.9,-19,-12,30,0,0,0.6,0.6,24,0
1.4,-7.3,-3,21,0,26,5,31,24,0
1.5,-1.2,0.2,17.8,0,1.4,1,2.2,24,0
-8.6,-15,-11.8,29.8,0,0,0,0,24,0
1.5,-8.2,-3.4,21.4,0,0,0,0,26,1
-8.9,-17.7,-13.3,31.3,0,0,10,10,26,0
-7.3,-12.6,-10,28,0,0,0.4,0.4,36,0
-10.6,-23.6,-17.1,35.1,0,0,0,0,34,0
-3.8,-23.5,-13.7,31.7,0,0,0,0,34,0
5.8,-2.7,1.6,16.4,0,0.7,0,0.7,34,0
6.3,0.9,3.6,14.4,0,0,0,0,31,0
12.5,0.5,6.5,11.5,0,3.7,0,3.7,26,0
5,3.4,4.2,13.8,0,0.4,0,0.4,22,0
4,-1.2,1.4,16.6,0,0,0,0,18,0
4,-7.8,-1.9,19.9,0,0,0,0,0,0
5,-6,-0.5,18.5,0,0.2,3.4,3.6,0,0
3,-1.5,0.8,17.2,0,0,0.2,0.2,3,0
-0.5,-7,-3.8,21.8,0,9.4,5,14.4,0,1
6,-3,1.5,16.5,0,0,0,0,0,0
10.5,-4,3.3,14.7,0,14.6,0,14.6,0,0
14.5,3.5,9,9,0,8.4,0,8.4,0,0
12.5,8,10.3,7.7,0,0,0,0,0,0
-1.5,-9,-5.3,23.3,0,0,0,0,0,0
0,-9.5,-4.8,22.8,0,0,0,0,0,0
1.5,-5,-1.8,19.8,0,2,18,16.4,0,0
6,-3,1.5,16.5,0,1.2,0,1.2,18,0
-2,-4.5,-3.3,21.3,0,0,0.6,0.6,4,0
6,-2.5,1.8,16.2,0,7,0,7,5,0
6,0,3,15,0,0,0,0,0,0
7,-4,1.5,16.5,0,0,0,0,0,0
10.5,-3,3.8,14.2,0,0,0,0,0,0
14.5,-0.5,7,11,0,0,0,0,0,0
15,7,11,7,0,3.4,0,3.4,0,0
14.5,1.5,8,10,0,0,0,0,0,0
15.5,0,7.8,10.2,0,0,0,0,0,0
22,0.5,11.3,6.7,0,5.2,0,5.2,0,0
14,11.5,12.8,5.2,0,1,0,1,0,0
9,0,4.5,13.5,0,0,0,0,0,0
11,1,6,12,0,0,0,0,0,0
9,-2.5,3.3,14.7,0,0,0,0,0,0
9.5,-1.5,4,14,0,0,0,0,0,0
13,-1,6,12,0,0,0,0,0,0
10.5,6.5,8.5,9.5,0,0,0,0,0,0
16,0.5,8.3,9.7,0,0,0,0,0,0
15,5,10,8,0,0,0,0,0,0
19.5,9.5,14.5,3.5,0,0,0,0,0,0
22.5,4.5,13.5,4.5,0,0,0,0,0,0
13,0.5,6.8,11.2,0,0,0,0,0,0
18.5,1.5,10,8,0,0,0,0,0,0
22.5,4,13.3,4.7,0,0,0,0,0,0
26.5,9.5,18,0,0,1,0,1,0,0
23,16.5,19.8,0,1.8,5.8,0,5.8,0,0
13,3,8,10,0,0,0,0,0,0
16,1,8.5,9.5,0,0,0,0,0,0
17,5.5,11.3,6.7,0,0,0,0,0,0
20.5,10,15.3,2.7,0,0,0,0,0,0
24.5,6,15.3,2.7,0,0,0,0,0,0
26.5,9.5,18,0,0,0,0,0,0,0
29,8.5,18.8,0,0.8,1.2,0,1.2,0,0
26,16,21,0,3,0,0,0,0,0
25.5,12.5,19,0,1,0.8,0,0.8,0,0
30.5,14,22.3,0,4.3,0,0,0,0,0
28.5,18.5,23.5,0,5.5,0,0,0,0,0
23,14.5,18.8,0,0.8,0,0,0,0,0
25,10,17.5,0.5,0,2.2,0,2.2,0,0
24,15,19.5,0,1.5,0.4,0,0.4,0,0
26,13,19.5,0,1.5,0,0,0,0,0
23,16,19.5,0,1.5,0,0,0,0,0
21,12.5,16.8,1.2,0,2.2,0,2.2,0,0
13,8.5,10.8,7.2,0,0,0,0,0,0
19,7.5,13.3,4.7,0,0,0,0,0,0
19.5,7.5,13.5,4.5,0,3.6,0,3.6,0,0
21,10,15.5,2.5,0,0,0,0,0,0
25,8,16.5,1.5,0,0,0,0,0,0
27.5,11.5,19.5,0,1.5,0,0,0,0,0
28.5,12,20.3,0,2.3,0,0,0,0,0
29.5,11,20.3,0,2.3,0,0,0,0,0
32.5,17.5,25,0,7,0,0,0,0,0
23.5,15,19.3,0,1.3,0,0,0,0,0
22,15,18.5,0,0.5,0,0,0,0,0
25.5,10.5,18,0,0,0,0,0,0,0
